,DJ Name,Mean Ranking,Num Years,Num Sampled
148,Blasterjaxx,45.09090909090909,11,4
149,Dillon Francis,68.8,5,7
150,Dannic,52.2,5,1
151,Stafford Brothers,90.0,1,1
152,DJs From Mars,95.0,1,1
153,Ummet Ozcan,45.09090909090909,11,2
154,Deorro,55.0,6,8
155,DVBBS,25.142857142857142,7,5
156,Oliver Heldens,14.272727272727273,11,5
157,Borgore,61.666666666666664,3,2
158,Firebeatz,66.33333333333333,3,2
159,Gabry Ponte,61.0,1,3
160,VINAI,42.36363636363637,11,6
161,MAKJ,73.0,2,4
162,DJ Snake,32.27272727272727,11,88
163,Carnage,79.5,4,2
164,Zomboy,77.0,1,18
165,TJR,80.0,1,9
166,3lau,81.0,1,6
167,Don Diablo,18.272727272727273,11,8
168,Wolfpack,51.714285714285715,7,4
169,Quintino,40.09090909090909,11,7
170,Borgeous,80.5,2,4
171,Audien,88.0,1,2
172,The Chainsmokers,36.6,10,67
173,Axwell Λ Ingrosso,23.75,4,9
174,KSHMR,14.4,10,88
175,Kygo,34.714285714285715,7,12
176,Bassjackers,33.1,10,2
177,Alok,13.3,10,5
178,Major Lazer,47.666666666666664,3,105
179,DJ Chetas,46.0,2,1
180,Danny Avila,45.888888888888886,9,1
181,tchami,79.66666666666667,3,1
182,Disclosure,82.5,2,31
183,Yellow Claw,62.0,6,4
184,Will Sparks,65.375,8,2
185,Flux Pavilion,86.0,1,13
186,Robin Schulz,79.16666666666667,6,13
187,Tujamo,53.2,10,10
188,Galantis,67.66666666666667,3,33
189,Marshmello,19.11111111111111,9,45
190,Vintage Culture,25.333333333333332,9,1
191,Alan Walker,24.88888888888889,9,21
192,Timmy Trumpet,22.444444444444443,9,5
193,Martin Jensen,62.75,4,1
194,Jauz,78.0,2,4
195,Sam Feldt,81.0,2,1
196,Jay Hardway,83.8,5,3
197,Flume,90.5,2,29
198,Daddy's Groove,89.66666666666667,3,1
199,Lost Frequencies,22.375,8,5
200,Mike Williams,68.42857142857143,7,1
201,Lucas & Steve,78.33333333333333,6,1
202,Claptone,43.375,8,1
203,Vini Vici,32.125,8,1
204,Solomun,90.33333333333333,6,1
205,Black Coffee,60.285714285714285,7,4
206,Alison Wonderland,62.0,6,3
207,Breathe Carolina,68.6,5,6
208,Deniz Koyu,75.5,4,4
209,NGHTMRE,83.0,1,2
210,Cedric Gervais,81.5,2,4
211,Nina Kraviz,69.25,4,1
212,FISHER,43.2,5,13
213,Illenium,53.5,2,14
214,Peggy Gou,38.333333333333336,6,3
215,Solardo,88.0,1,2
216,Nora En Pure,61.4,5,1
217,Plastik Funk,78.0,5,5
218,Green Velvet,83.0,3,10
219,ANNA,95.0,1,5
220,Blastoyz,95.5,2,1
221,MORTEN,61.666666666666664,3,9
222,Virtual Riot,78.0,1,19
223,KAAZE,65.0,4,1
224,VIZE,100.0,1,1
225,Joel Corry,48.0,3,7
226,Topic,74.33333333333333,3,6
227,Ofenbach,78.5,2,2
228,Acraze,82.5,2,6
229,Maya Jane Coles,97.0,1,5
230,Fred Again..,31.0,2,20
231,James Hype,70.0,2,5
232,MARTEN HØRGER,88.0,1,1
233,Kölsch,84.5,2,1
234,Maddix,82.0,2,1
235,Anyma,17.0,1,2
236,Dom Dolla,66.0,1,5
237,John Summit,70.0,1,4
238,DubVision,76.0,1,2
239,Jax Jones,82.0,1,13
240,Marnik,90.0,1,1
241,Mau P,91.0,1,6
242,Faustix,99.0,1,6
243,MEDUZA,100.0,1,19
