,DJ Name,Mean Ranking,Num Years,Num Sampled,Bayesian Ranking
231,Wildstylez,71.4,5,4,63.33094660194175
232,Tritonal,74.0,2,6,59.529514563106794
233,AN21,73.0,2,2,59.129514563106795
234,Felguk,84.4,5,1,71.45594660194175
235,Nero,85.5,2,16,64.1295145631068
237,Tenishia,70.0,5,2,62.45594660194175
238,Sidney Samson,92.0,1,8,60.411893203883494
239,Porter Robinson,67.85714285714286,7,146,62.464757281553396
241,Nicky Romero,25.76923076923077,13,16,30.290473300970874
242,Knife Party,52.75,4,29,51.52108183079057
243,Nervo,32.38461538461539,13,2,35.66547330097087
244,Zedd,41.15384615384615,13,115,42.79047330097087
245,Madeon,65.33333333333333,3,79,57.607928802588994
247,Tommy Trash,58.5,2,3,53.3295145631068
248,Bingo Players,71.33333333333333,3,18,60.607928802588994
250,R3hab,23.846153846153847,13,6,28.727973300970874
252,Wasted Penguinz,79.0,2,3,61.529514563106794
254,Frontliner,58.5,4,1,54.806796116504856
256,Thomas Gold,85.5,2,1,64.1295145631068
257,Feed Me,85.0,1,5,58.661893203883494
258,Mike Candys,83.5,4,1,69.09251040221913
260,Netsky,85.0,3,8,67.44126213592233
261,Neelix,96.0,1,1,61.411893203883494
262,Da Tweekaz,76.5,8,2,69.24068843777582
263,Project 46,85.0,2,1,63.92951456310679
264,Dyro,44.25,4,2,46.66393897364771
265,Martin Garrix,5.166666666666667,12,51,14.109838187702264
266,Krewella,52.666666666666664,3,15,51.274595469255665
267,Vicetone,62.0,5,3,57.45594660194175
268,Gunz For Hire,63.0,1,1,53.161893203883494
269,Diplo,38.75,8,41,41.78614298323036
271,Blasterjaxx,45.09090909090909,11,4,46.11768377253814
272,Dillon Francis,68.8,5,7,61.70594660194175
273,Dannic,52.2,5,1,51.33094660194175
276,Stafford Brothers,90.0,1,1,59.911893203883494
279,DJs From Mars,95.0,1,1,61.161893203883494
280,Ummet Ozcan,45.09090909090909,11,2,46.11768377253814
281,Deorro,55.0,6,8,53.29417475728155
282,DVBBS,25.142857142857142,7,5,32.5647572815534
283,Oliver Heldens,14.272727272727273,11,5,21.903398058252428
284,Borgore,61.666666666666664,3,2,55.774595469255665
287,Firebeatz,66.33333333333333,3,2,58.107928802588994
288,Gabry Ponte,61.0,1,3,52.661893203883494
289,VINAI,42.36363636363637,11,6,43.974826629681
290,MAKJ,73.0,2,4,59.129514563106795
292,DJ Snake,32.27272727272727,11,88,36.04625520110957
293,Carnage,79.5,4,2,66.80679611650486
294,Zomboy,77.0,1,18,56.661893203883494
