DJ Name,Num Sampled
Mike Williams,1
Lucas & Steve,1
Warface,0
Claptone,1
Vini Vici,1
Cat Dealers,0
Solomun,1
Mariana Bo,0
Black Coffee,4
Alison Wonderland,3
Maceo Plex,0
Carta,0
Julian Jordan,0
DJ L,0
Jeffrey Sutorius,0
MATTN,0
Breathe Carolina,0
Deniz Koyu,4
Mosimann,0
NGHTMRE,2
Marco Carola,0
Cedric Gervais,4
Nina Kraviz,1
Rave Republic,0
SLANDER,0
FISHER,13
Illenium,0
3 Are Legend,0
Charlotte de Witte,0
Peggy Gou,3
Tom & Collins,0
Boris Brejcha,0
Solardo,2
Sub Zero Project,0
D.O.D,0
Henri PFR,0
REZZ,0
Amelie Lens,0
Jamie Jones,0
Nora En Pure,1
TBC - marek,0
Mr Pig,0
Pink Panda,0
Plastik Funk,0
Green Velvet,10
Sunnery James & Ryan Marciano,0
Aryue,0
Burak Yeter,0
Tungevaag,0
Deborah De Luca,0
Mike Perry,0
ANNA,5
Dimitri Vangelis & Wyman,0
Blastoyz,1
22Bullets,0
GORDO,0
MORTEN,9
Beauz,0
Panta Q,0
Naeleck,0
Virtual Riot,19
KAAZE,1
Giftback,0
Christina Novelli,1
KAKA,0
Luminn,0
Alexso,0
Daddy’s Groove,0
Dexter King,0
VIZE,1
Reinier Zonneveld,0
Joel Corry,7
Topic,6
Ofenbach,2
Honey Dijon,0
Acraze,6
Le Twins,0
Dubdogz,0
Maya Jane Coles,5
Cuebrick,0
The Martinez Brothers,0
Fred Again..,20
James Hype,5
MARTEN HØRGER,1
Kölsch,1
Maddix,0
Lizzy Wang,0
Indira Paganotto,0
Liu,0
Le Shuuk,0
Anyma,2
Keinemusik,0
Korolova,0
Mochakk,0
Dom Dolla,5
John Summit,0
Sara Landry,0
DubVision,0
Jax Jones,13
WUKONG,0
Marnik,1
Mau P,6
B Jones,0
Giuseppe Ottaviani,0
Faustix,6
MEDUZA,0
