DJ Name,Num Sampled By
Lost Frequencies,1
Mike Williams,2
Lucas & Steve,15
Warface,7
Claptone,21
Vini Vici,8
Cat Dealers,6
Solomun,10
Mariana Bo,4
Black Coffee,2
Alison Wonderland,3
Maceo Plex,14
Carta,1
Julian Jordan,0
DJ L,0
Jeffrey Sutorius,0
MATTN,6
Breathe Carolina,5
Deniz Koyu,4
Mosimann,3
NGHTMRE,23
Marco Carola,0
Cedric Gervais,6
Nina Kraviz,2
Rave Republic,0
SLANDER,6
FISHER,8
Illenium,14
3 Are Legend,0
Charlotte de Witte,3
Peggy Gou,5
Tom & Collins,3
Boris Brejcha,0
Solardo,15
Sub Zero Project,3
D.O.D,7
Henri PFR,3
REZZ,5
Amelie Lens,0
Jamie Jones,7
Nora En Pure,19
TBC - marek,0
Mr Pig,3
Pink Panda,4
Plastik Funk,11
Green Velvet,11
Sunnery James & Ryan Marciano,6
Aryue,0
Burak Yeter,4
Tungevaag,3
Deborah De Luca,17
Mike Perry,1
ANNA,0
Dimitri Vangelis & Wyman,0
Blastoyz,2
22Bullets,1
GORDO,1
MORTEN,9
Beauz,0
Panta Q,0
Naeleck,6
Virtual Riot,61
KAAZE,6
Giftback,0
Christina Novelli,0
KAKA,0
Luminn,0
Alexso,0
Daddy’s Groove,0
Dexter King,0
VIZE,10
Reinier Zonneveld,3
Joel Corry,8
Topic,6
Ofenbach,4
Honey Dijon,2
Acraze,5
Le Twins,0
Dubdogz,11
Maya Jane Coles,4
Cuebrick,0
The Martinez Brothers,6
Fred Again..,66
James Hype,7
MARTEN HØRGER,6
Kölsch,2
Maddix,7
Lizzy Wang,1
Indira Paganotto,0
Liu,2
Le Shuuk,8
Anyma,2
Keinemusik,1
Korolova,0
Mochakk,5
Dom Dolla,5
John Summit,7
Sara Landry,1
DubVision,4
Jax Jones,16
WUKONG,0
Marnik,7
Mau P,2
B Jones,0
Giuseppe Ottaviani,2
Faustix,2
MEDUZA,4
